"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Gene"	"sig"	"log10Pval"	"fcpos"
"ENSG00000135828.11-RNASEL"	1.54166943163416	2.27707685583263	13.2239752647073	4.47816267542823e-15	1.41066602438665e-10	23.0669977807022	"ENSG00000135828.11-RNASEL"	TRUE	9.85057579342793	TRUE
"ENSG00000163661.4-PTX3"	-45.2158895966163	35.0350427567527	-12.5474591631323	2.02596888254927e-14	3.19100228845923e-10	21.7680605289271	"ENSG00000163661.4-PTX3"	TRUE	9.49607288434774	FALSE
"ENSG00000142945.13-KIF2C"	13.5263710886747	77.9340096858982	10.9636179013627	8.60307347633973e-13	9.03351391927259e-09	18.4728478685517	"ENSG00000142945.13-KIF2C"	TRUE	8.04414328192352	TRUE
"ENSG00000119514.7-GALNT12"	17.4890534988738	27.4457325070151	10.505659373787	2.69728044509688e-12	2.12417578252492e-08	17.4507306728852	"ENSG00000119514.7-GALNT12"	TRUE	7.6728095468082	TRUE
"ENSG00000188783.6-PRELP"	1.13674928502865	2.02029532802362	10.3965155133785	3.55581666732327e-12	2.24023561674701e-08	17.2024286590516	"ENSG00000188783.6-PRELP"	TRUE	7.64970630234809	TRUE
"ENSG00000104765.16-BNIP3L"	32.7147995960707	118.591609126357	10.3187823082037	4.3333522972053e-12	2.27508217857107e-08	17.0244768555407	"ENSG00000104765.16-BNIP3L"	TRUE	7.64300291151001	TRUE
"ENSG00000274512.5-TBC1D3L"	20.2120275780355	9.16463302899106	10.0443856686637	8.76457156217085e-12	3.94418241114206e-08	16.3889189981477	"ENSG00000274512.5-TBC1D3L"	TRUE	7.40404300794976	TRUE
"ENSG00000002586.20-CD99"	156.043253984866	300.439771729746	9.94152617684433	1.14420213838199e-11	4.50543894514637e-08	16.1477033626784	"ENSG00000002586.20-CD99"	TRUE	7.34626289121801	TRUE
"ENSG00000282826.2-FRG1CP"	-20.6417902433024	11.9223776402609	-9.57512629996168	2.99076488047977e-11	1.04680093888881e-07	15.2752882869169	"ENSG00000282826.2-FRG1CP"	TRUE	6.98013589650785	FALSE
"ENSG00000285804.2-AC025774.1"	3.03718328683031	2.78610264675111	9.14758707515551	9.38223995240908e-11	2.95549940740839e-07	14.2313959103142	"ENSG00000285804.2-AC025774.1"	TRUE	6.52936912339318	TRUE
"ENSG00000257935.2-LHX5-AS1"	25.0112563775674	23.6869198132867	9.02394142936344	1.3116565497875e-10	3.65952011870119e-07	13.9243409998588	"ENSG00000257935.2-LHX5-AS1"	TRUE	6.43657586090725	TRUE
"ENSG00000093072.18-ADA2"	29.2771856721327	32.2482188988164	9.00153477025924	1.39405864653231e-10	3.65952011870119e-07	13.8684517729986	"ENSG00000093072.18-ADA2"	TRUE	6.43657586090725	TRUE
"ENSG00000254389.3-RHPN1-AS1"	1.41603842773418	3.61478455140157	8.57827903226656	4.45999904003521e-10	1.08072638277038e-06	12.7987128929989	"ENSG00000254389.3-RHPN1-AS1"	TRUE	5.96628424637453	TRUE
"ENSG00000276023.5-DUSP14"	-9.17313364465426	28.4556808382568	-8.54482342660831	4.89411059342984e-10	1.10120984145452e-06	12.7130353724323	"ENSG00000276023.5-DUSP14"	TRUE	5.95812991599439	FALSE
"ENSG00000196369.11-SRGAP2B"	10.4204089364885	19.9476911199678	8.47548096159638	5.93574806615896e-10	1.24654666554716e-06	12.5349384874345	"ENSG00000196369.11-SRGAP2B"	TRUE	5.90429145866821	TRUE
"ENSG00000230772.1-VN1R108P"	1.18019409050078	1.03154383694661	8.05053841874171	1.96148461323655e-09	3.86179542509779e-06	11.4286271486894	"ENSG00000230772.1-VN1R108P"	TRUE	5.41321073628018	TRUE
"ENSG00000245498.7-AP000866.1"	1.78447131577583	4.39317732591555	8.02865320567491	2.08724397898154e-09	3.8676630930528e-06	11.3709714550529	"ENSG00000245498.7-AP000866.1"	TRUE	5.41255136375156	TRUE
"ENSG00000158467.16-AHCYL2"	7.55755331204873	22.8469606787606	7.98713004543046	2.34879553524033e-09	4.11052267531142e-06	11.261401894233	"ENSG00000158467.16-AHCYL2"	TRUE	5.38610295170759	TRUE
"ENSG00000168309.18-FAM107A"	-4.11453761052047	4.12026273364005	-7.81396967376406	3.85113689334318e-09	5.91216259374478e-06	10.8019868836052	"ENSG00000168309.18-FAM107A"	TRUE	5.22825363066953	FALSE
"ENSG00000182175.14-RGMA"	-67.5804310742621	182.041509541106	-7.80589296398097	3.94131660800103e-09	5.91216259374478e-06	10.7804618032053	"ENSG00000182175.14-RGMA"	TRUE	5.22825363066953	FALSE
"ENSG00000171148.13-TADA3"	10.9189067886728	65.6462323434895	7.74377019212472	4.71048796456432e-09	6.74477642598821e-06	10.6146162971643	"ENSG00000171148.13-TADA3"	TRUE	5.17103244162868	TRUE
"ENSG00000266338.6-NBPF15"	12.2033703189476	16.4991762146483	7.61304173078113	6.86433105845224e-09	9.40144750749148e-06	10.2640033307581	"ENSG00000266338.6-NBPF15"	TRUE	5.0268052744728	TRUE
"ENSG00000049239.12-H6PD"	4.50602263262637	10.6850337477682	7.58576911803686	7.42704155871532e-09	9.74830150587881e-06	10.1905868292327	"ENSG00000049239.12-H6PD"	TRUE	5.01107104695608	TRUE
"ENSG00000268575.1-AL031282.2"	2.25189188808347	5.01289166598835	7.51870531541278	9.01786874083255e-09	1.13628753281986e-05	10.0096629391226	"ENSG00000268575.1-AL031282.2"	TRUE	4.94451175831137	TRUE
"ENSG00000152117.17-AC073869.1"	11.6412494462297	18.4622629464627	7.3930413152936	1.29894964709669e-08	1.51548936419233e-05	9.66917782162908	"ENSG00000152117.17-AC073869.1"	TRUE	4.81944710719394	TRUE
"ENSG00000254245.2-PCDHGA3"	1.60066959075686	1.57512756578695	7.31004727029604	1.65442877527068e-08	1.86129145892149e-05	9.44328194018859	"ENSG00000254245.2-PCDHGA3"	TRUE	4.73018561553645	TRUE
"ENSG00000278962.1-AC092645.1"	3.33946128423743	6.41559855414433	7.29495264124176	1.72896905650745e-08	1.87807773272556e-05	9.40211125469744	"ENSG00000278962.1-AC092645.1"	TRUE	4.72628643646015	TRUE
"ENSG00000260196.1-AC124798.1"	-1.02179913920217	1.75665393144833	-7.23933789041024	2.03417007489082e-08	2.13594638430453e-05	9.2501980111558	"ENSG00000260196.1-AC124798.1"	TRUE	4.67040965299785	FALSE
"ENSG00000215790.7-SLC35E2A"	9.38745608384869	18.371630369172	7.20686902008105	2.23699460217946e-08	2.20211146760172e-05	9.16134758415835	"ENSG00000215790.7-SLC35E2A"	TRUE	4.65716070146822	TRUE
"ENSG00000091972.18-CD200"	16.00054122569	62.4382715268927	7.09961195121391	3.06428173414704e-08	2.92508905779897e-05	8.86701748940443	"ENSG00000091972.18-CD200"	TRUE	4.53386090677091	TRUE
"ENSG00000267751.5-AC009005.1"	39.2310368094533	21.3123655266914	7.02416049273768	3.82597551553359e-08	3.44348727756639e-05	8.65923022481321	"ENSG00000267751.5-AC009005.1"	TRUE	4.46300151723592	TRUE
"ENSG00000228223.3-HCG11"	2.28216350886233	7.35931781801014	7.00943759752336	3.99559301579514e-08	3.49625487751563e-05	8.61861548668003	"ENSG00000228223.3-HCG11"	TRUE	4.45639691474937	TRUE
"ENSG00000149531.15-FRG1BP"	-10.2860573181183	5.58969212283776	-6.962723109801	4.58575345425056e-08	3.90421133952289e-05	8.48960202754318	"ENSG00000149531.15-FRG1BP"	TRUE	4.40846668150115	FALSE
"ENSG00000064309.14-CDON"	14.6436839485815	32.8605167749723	6.94926742286198	4.77154807457722e-08	3.95548778676992e-05	8.45240003780464	"ENSG00000064309.14-CDON"	TRUE	4.40279995210566	TRUE
"ENSG00000165113.13-GKAP1"	6.82169345432504	19.9922705611516	6.92369705063893	5.14583752263285e-08	4.15638532821685e-05	8.38165397534156	"ENSG00000165113.13-GKAP1"	TRUE	4.38128419687979	TRUE
"ENSG00000204310.13-AGPAT1"	18.7958559475278	119.954711637902	6.90216127203218	5.48399091120401e-08	4.31877994234594e-05	8.32202051090113	"ENSG00000204310.13-AGPAT1"	TRUE	4.36463892428305	TRUE
"ENSG00000103550.14-KNOP1"	-26.3161782700354	92.9568629154459	-6.88817639809668	5.71551067598915e-08	4.39132443425205e-05	8.28327157748937	"ENSG00000103550.14-KNOP1"	TRUE	4.35740447571721	FALSE
"ENSG00000112333.11-NR2E1"	-4.12441438487593	4.27733034153727	-6.84710423153859	6.45412730411461e-08	4.81168673768108e-05	8.16936093665393	"ENSG00000112333.11-NR2E1"	TRUE	4.31770265492427	FALSE
"ENSG00000145687.16-SSBP2"	19.7468522416245	71.073092818121	6.8347691702502	6.69423935054827e-08	4.81168673768108e-05	8.13511918205801	"ENSG00000145687.16-SSBP2"	TRUE	4.31770265492427	TRUE
"ENSG00000287978.1-AC245407.2"	5.99552959628724	5.65532929534779	6.83342855430427	6.7208728757172e-08	4.81168673768108e-05	8.1313968084241	"ENSG00000287978.1-AC245407.2"	TRUE	4.31770265492427	TRUE
"ENSG00000225746.12-MEG8"	90.5514585611304	91.6226141646146	6.81651511126592	7.06621723957379e-08	4.94650909475142e-05	8.08442021781592	"ENSG00000225746.12-MEG8"	TRUE	4.30570118808324	TRUE
"ENSG00000097046.13-CDC7"	-10.2072931665977	50.1250119996039	-6.79248193300585	7.58797446044776e-08	5.19627790170793e-05	8.01762297187221	"ENSG00000097046.13-CDC7"	TRUE	4.2843076305107	FALSE
"ENSG00000174963.17-ZIC4"	22.968820024502	17.1939791022624	6.74457374694706	8.74699691211138e-08	5.86253510060469e-05	7.88431032346477	"ENSG00000174963.17-ZIC4"	TRUE	4.23191454402896	TRUE
"ENSG00000259943.1-AL050341.2"	2.64472007138227	11.2908867087395	6.7128542192105	9.61112458844724e-08	6.24603815337831e-05	7.79593203673205	"ENSG00000259943.1-AL050341.2"	TRUE	4.20439536724782	TRUE
"ENSG00000198270.13-TMEM116"	3.37947416226659	12.0753072966426	6.70921051413914	9.71575091316266e-08	6.24603815337831e-05	7.78577410619148	"ENSG00000198270.13-TMEM116"	TRUE	4.20439536724782	TRUE
"ENSG00000104131.13-EIF3J"	-16.6080353010991	81.6354638517605	-6.68994804299569	1.02882520254982e-07	6.48180454110436e-05	7.73205488732894	"ENSG00000104131.13-EIF3J"	TRUE	4.1883040692618	FALSE
"ENSG00000060709.15-RIMBP2"	-3.0695729549881	2.86611152312707	-6.67452384875458	1.0771117886866e-07	6.65296048145421e-05	7.68901670717358	"ENSG00000060709.15-RIMBP2"	TRUE	4.17698505625293	FALSE
"ENSG00000104888.10-SLC17A7"	2.05195365200415	3.13461062298771	6.63350576246717	1.2169406198645e-07	7.2487689275513e-05	7.57446522586108	"ENSG00000104888.10-SLC17A7"	TRUE	4.13973574423851	TRUE
"ENSG00000163964.15-PIGX"	10.9868816961296	26.2035352945406	6.63277381143336	1.21959541970166e-07	7.2487689275513e-05	7.5724198165059	"ENSG00000163964.15-PIGX"	TRUE	4.13973574423851	TRUE
"ENSG00000148730.7-EIF4EBP2"	20.4092332067762	110.342036549055	6.60413326769951	1.32819061126673e-07	7.74802452694692e-05	7.4923500963087	"ENSG00000148730.7-EIF4EBP2"	TRUE	4.11080901315932	TRUE
"ENSG00000114626.18-ABTB1"	3.65564779803735	7.8152802451116	6.54938753260747	1.56364991736646e-07	8.84724083086404e-05	7.33911349931207	"ENSG00000114626.18-ABTB1"	TRUE	4.05319215063158	TRUE
"ENSG00000146242.8-TPBG"	45.8090573376922	81.0869167117538	6.54527386117237	1.58295684282113e-07	8.84724083086404e-05	7.32758947130684	"ENSG00000146242.8-TPBG"	TRUE	4.05319215063158	TRUE
"ENSG00000108448.21-TRIM16L"	4.94273578150736	8.86574521994558	6.53698237006439	1.62260488738438e-07	8.84724083086404e-05	7.3043576946674	"ENSG00000108448.21-TRIM16L"	TRUE	4.05319215063158	TRUE
"ENSG00000148053.16-NTRK2"	-1.12341166140241	1.68687510858301	-6.53567151637219	1.62896405888738e-07	8.84724083086404e-05	7.30068434806071	"ENSG00000148053.16-NTRK2"	TRUE	4.05319215063158	FALSE
"ENSG00000170271.11-FAXDC2"	4.32154596049935	8.16870756516042	6.5237137115406	1.68814519588145e-07	9.01326471448498e-05	7.26716938837513	"ENSG00000170271.11-FAXDC2"	TRUE	4.045117873763	TRUE
"ENSG00000100097.12-LGALS1"	20.8914528479434	31.6614116336832	6.50354692624856	1.79290336595098e-07	9.4130414884703e-05	7.21062171033586	"ENSG00000100097.12-LGALS1"	TRUE	4.02627002713222	TRUE
